"222";"2 ก.ค.2015 10:00";"5.0";"319.8";"32.6";"-";"-"
"222";"2 ก.ค.2015 10:30";"5.0";"321.6";"32.6";"-";"-"
"222";"2 ก.ค.2015 11:00";"5.0";"325.1";"32.6";"-";"-"
"222";"2 ก.ค.2015 11:30";"5.0";"327.3";"32.7";"-";"-"
"222";"2 ก.ค.2015 12:00";"5.0";"329.1";"32.7";"-";"-"
"222";"2 ก.ค.2015 12:30";"5.0";"329.6";"32.7";"-";"-"
"222";"2 ก.ค.2015 13:00";"5.0";"329.9";"32.8";"-";"-"
"222";"2 ก.ค.2015 13:30";"5.1";"329.1";"32.9";"-";"-"
"222";"2 ก.ค.2015 14:00";"5.1";"328.7";"33.0";"-";"-"
"222";"2 ก.ค.2015 14:30";"5.1";"328.1";"33.1";"-";"-"
"222";"2 ก.ค.2015 15:00";"5.1";"327.2";"33.1";"-";"-"
"222";"2 ก.ค.2015 15:30";"5.1";"325.6";"33.1";"-";"-"
"222";"2 ก.ค.2015 16:00";"5.2";"323.5";"33.2";"-";"-"
"222";"2 ก.ค.2015 16:30";"5.2";"321.8";"33.2";"-";"-"
"222";"2 ก.ค.2015 17:00";"5.1";"319.8";"33.2";"-";"-"
"222";"2 ก.ค.2015 17:30";"5.1";"318.1";"33.2";"-";"-"
"222";"2 ก.ค.2015 18:00";"5.1";"316.7";"33.1";"-";"-"
"222";"2 ก.ค.2015 18:30";"5.1";"316.1";"33.0";"-";"-"
"222";"2 ก.ค.2015 19:00";"5.2";"315.9";"33.0";"-";"-"
"222";"2 ก.ค.2015 19:30";"5.2";"316.1";"32.9";"-";"-"
"222";"2 ก.ค.2015 20:00";"5.2";"317.9";"32.9";"-";"-"
"222";"2 ก.ค.2015 20:30";"5.2";"319.3";"32.8";"-";"-"
"222";"2 ก.ค.2015 21:00";"5.2";"320.2";"32.8";"-";"-"
"222";"2 ก.ค.2015 21:30";"5.2";"319.4";"32.8";"-";"-"
"222";"2 ก.ค.2015 22:00";"5.2";"319.2";"32.7";"-";"-"
"222";"2 ก.ค.2015 22:30";"5.2";"320.2";"32.7";"-";"-"
"222";"2 ก.ค.2015 23:00";"5.2";"318.3";"32.7";"-";"-"
"222";"2 ก.ค.2015 23:30";"5.2";"317.7";"32.7";"-";"-"
"222";"3 ก.ค.2015 00:00";"5.1";"317.0";"32.7";"-";"-"
"222";"3 ก.ค.2015 00:30";"5.1";"317.4";"32.7";"-";"-"
"222";"3 ก.ค.2015 01:00";"5.1";"318.1";"32.7";"-";"-"
"222";"3 ก.ค.2015 01:30";"5.1";"318.2";"32.7";"-";"-"
"222";"3 ก.ค.2015 02:00";"5.1";"319.1";"32.7";"-";"-"
"222";"3 ก.ค.2015 02:30";"5.1";"320.3";"32.7";"-";"-"
"222";"3 ก.ค.2015 03:00";"5.1";"321.1";"32.6";"-";"-"
"222";"3 ก.ค.2015 03:30";"5.2";"321.9";"32.6";"-";"-"
"222";"3 ก.ค.2015 04:00";"5.1";"321.2";"32.6";"-";"-"
"222";"3 ก.ค.2015 04:30";"5.2";"320.8";"32.6";"-";"-"
"222";"3 ก.ค.2015 05:00";"5.2";"320.0";"32.6";"-";"-"
"222";"3 ก.ค.2015 05:30";"5.2";"319.1";"32.6";"-";"-"
"222";"3 ก.ค.2015 06:00";"5.2";"319.8";"32.5";"-";"-"
"222";"3 ก.ค.2015 06:30";"5.3";"320.5";"32.5";"-";"-"
"222";"3 ก.ค.2015 07:00";"5.3";"321.5";"32.5";"-";"-"
"222";"3 ก.ค.2015 07:30";"5.3";"321.1";"32.6";"-";"-"
"222";"3 ก.ค.2015 08:00";"5.2";"321.1";"32.6";"-";"-"
"222";"3 ก.ค.2015 08:30";"5.2";"321.8";"32.6";"-";"-"
"222";"3 ก.ค.2015 09:00";"5.3";"322.3";"32.7";"-";"-"
"222";"3 ก.ค.2015 09:30";"5.2";"321.6";"32.8";"-";"-"
"222";"3 ก.ค.2015 10:00";"5.2";"322.2";"32.8";"-";"-"
"222";"3 ก.ค.2015 10:30";"5.2";"324.1";"32.9";"-";"-"
"222";"3 ก.ค.2015 11:00";"5.2";"325.0";"32.8";"-";"-"
"222";"3 ก.ค.2015 11:30";"5.2";"326.0";"32.9";"-";"-"
"222";"3 ก.ค.2015 12:00";"5.2";"327.6";"33.0";"-";"-"
"222";"3 ก.ค.2015 12:30";"5.3";"331.1";"33.1";"-";"-"
"222";"3 ก.ค.2015 13:00";"5.2";"334.2";"33.2";"-";"-"
"222";"3 ก.ค.2015 13:30";"5.2";"338.3";"33.2";"-";"-"
"222";"3 ก.ค.2015 14:00";"5.2";"340.1";"33.2";"-";"-"
"222";"3 ก.ค.2015 14:30";"5.2";"340.6";"33.2";"-";"-"
"222";"3 ก.ค.2015 15:00";"5.3";"339.4";"33.3";"-";"-"
"222";"3 ก.ค.2015 15:30";"5.3";"337.2";"33.3";"-";"-"
