"264,899;""129"";""25 เม.ย.2015 10:00"";""7.9"";""5.8"";""183.0"";""31.8"";""46.0"";""ปกติ"""
"265,019;""129"";""25 เม.ย.2015 11:00"";""7.9"";""6.0"";""183.0"";""32.2"";""46.0"";""ปกติ"""
"265,138;""129"";""25 เม.ย.2015 12:00"";""7.9"";""6.1"";""183.0"";""32.6"";""47.0"";""ปกติ"""
"265,258;""129"";""25 เม.ย.2015 13:00"";""7.9"";""6.2"";""183.0"";""33.0"";""46.0"";""ปกติ"""
"265,379;""129"";""25 เม.ย.2015 14:00"";""8.0"";""6.3"";""182.0"";""33.2"";""45.0"";""ปกติ"""
"265,500;""129"";""25 เม.ย.2015 15:00"";""8.0"";""6.4"";""181.0"";""33.1"";""46.0"";""ปกติ"""
"265,622;""129"";""25 เม.ย.2015 16:00"";""7.9"";""6.4"";""181.0"";""32.9"";""48.0"";""ปกติ"""
"265,743;""129"";""25 เม.ย.2015 17:00"";""7.9"";""6.2"";""182.0"";""32.5"";""50.0"";""ปกติ"""
"265,866;""129"";""25 เม.ย.2015 18:00"";""7.9"";""6.2"";""182.0"";""32.1"";""53.0"";""ปกติ"""
"265,987;""129"";""25 เม.ย.2015 19:00"";""7.8"";""6.0"";""182.0"";""31.8"";""56.0"";""ปกติ"""
"266,105;""129"";""25 เม.ย.2015 20:00"";""7.8"";""5.8"";""182.0"";""31.6"";""53.0"";""ปกติ"""
"266,222;""129"";""25 เม.ย.2015 21:00"";""7.8"";""5.8"";""181.0"";""31.5"";""50.0"";""ปกติ"""
"266,341;""129"";""25 เม.ย.2015 22:00"";""7.8"";""5.8"";""181.0"";""31.5"";""48.0"";""ปกติ"""
"266,462;""129"";""25 เม.ย.2015 23:00"";""7.7"";""5.7"";""181.0"";""31.5"";""46.0"";""ปกติ"""
"266,581;""129"";""26 เม.ย.2015 00:00"";""7.6"";""5.0"";""182.0"";""31.6"";""45.0"";""ปกติ"""
"266,701;""129"";""26 เม.ย.2015 01:00"";""7.6"";""4.6"";""182.0"";""31.5"";""43.0"";""ปกติ"""
"266,821;""129"";""26 เม.ย.2015 02:00"";""7.6"";""4.3"";""182.0"";""31.5"";""42.0"";""ปกติ"""
"266,940;""129"";""26 เม.ย.2015 03:00"";""7.6"";""4.1"";""183.0"";""31.4"";""42.0"";""ปกติ"""
"267,060;""129"";""26 เม.ย.2015 04:00"";""7.6"";""3.6"";""183.0"";""31.3"";""43.0"";""ปกติ"""
"267,180;""129"";""26 เม.ย.2015 05:00"";""7.5"";""3.4"";""183.0"";""31.3"";""43.0"";""ปกติ"""
"267,299;""129"";""26 เม.ย.2015 06:00"";""7.6"";""3.2"";""182.0"";""31.3"";""45.0"";""ปกติ"""
"267,416;""129"";""26 เม.ย.2015 07:00"";""7.6"";""3.4"";""182.0"";""31.2"";""46.0"";""ปกติ"""
"267,537;""129"";""26 เม.ย.2015 08:00"";""7.6"";""3.4"";""182.0"";""31.3"";""50.0"";""ปกติ"""
"267,657;""129"";""26 เม.ย.2015 09:00"";""7.6"";""3.6"";""181.0"";""31.8"";""49.0"";""ปกติ"""
"267,776;""129"";""26 เม.ย.2015 10:00"";""7.7"";""4.4"";""181.0"";""32.0"";""50.0"";""ปกติ"""
"267,897;""129"";""26 เม.ย.2015 11:00"";""7.7"";""5.0"";""181.0"";""32.0"";""51.0"";""ปกติ"""
"268,018;""129"";""26 เม.ย.2015 12:00"";""7.7"";""5.2"";""181.0"";""31.9"";""55.0"";""ปกติ"""
"268,138;""129"";""26 เม.ย.2015 13:00"";""7.7"";""5.4"";""178.0"";""31.1"";""67.0"";""ปกติ"""
"268,258;""129"";""26 เม.ย.2015 14:00"";""7.8"";""5.7"";""179.0"";""31.2"";""66.0"";""ปกติ"""
"268,375;""129"";""26 เม.ย.2015 15:00"";""7.8"";""5.7"";""179.0"";""31.4"";""63.0"";""ปกติ"""
"268,490;""129"";""26 เม.ย.2015 16:00"";""7.7"";""5.5"";""179.0"";""31.4"";""59.0"";""ปกติ"""
"268,607;""129"";""26 เม.ย.2015 17:00"";""7.7"";""5.5"";""181.0"";""31.3"";""60.0"";""ปกติ"""
"268,726;""129"";""26 เม.ย.2015 18:00"";""7.7"";""5.4"";""182.0"";""31.3"";""62.0"";""ปกติ"""
"268,846;""129"";""26 เม.ย.2015 19:00"";""7.7"";""5.4"";""183.0"";""31.2"";""63.0"";""ปกติ"""
"268,964;""129"";""26 เม.ย.2015 20:00"";""7.7"";""5.4"";""183.0"";""31.1"";""64.0"";""ปกติ"""
"269,083;""129"";""26 เม.ย.2015 21:00"";""7.7"";""5.4"";""182.0"";""31.1"";""64.0"";""ปกติ"""
"269,201;""129"";""26 เม.ย.2015 22:00"";""7.7"";""5.5"";""182.0"";""31.1"";""64.0"";""ปกติ"""
"269,319;""129"";""26 เม.ย.2015 23:00"";""7.7"";""5.5"";""181.0"";""31.1"";""65.0"";""ปกติ"""
"269,439;""129"";""27 เม.ย.2015 00:00"";""7.7"";""5.5"";""181.0"";""31.1"";""65.0"";""ปกติ"""
"269,560;""129"";""27 เม.ย.2015 01:00"";""7.7"";""5.5"";""180.0"";""31.1"";""64.0"";""ปกติ"""
"269,680;""129"";""27 เม.ย.2015 02:00"";""7.7"";""5.5"";""180.0"";""31.0"";""65.0"";""ปกติ"""
"269,800;""129"";""27 เม.ย.2015 03:00"";""7.7"";""5.5"";""181.0"";""30.9"";""66.0"";""ปกติ"""
"269,918;""129"";""27 เม.ย.2015 04:00"";""7.7"";""5.5"";""181.0"";""30.9"";""64.0"";""ปกติ"""
"270,037;""129"";""27 เม.ย.2015 05:00"";""7.7"";""5.5"";""181.0"";""30.8"";""68.0"";""ปกติ"""
"270,154;""129"";""27 เม.ย.2015 06:00"";""7.8"";""5.6"";""181.0"";""30.7"";""68.0"";""ปกติ"""
