"310,559;""129"";""11 พ.ค.2015 11:00"";""7.6"";""4.8"";""180.0"";""32.9"";""402.0"";""ปกติ"""
"310,683;""129"";""11 พ.ค.2015 12:00"";""7.6"";""4.6"";""179.0"";""33.2"";""402.0"";""ปกติ"""
"310,808;""129"";""11 พ.ค.2015 13:00"";""7.6"";""4.9"";""179.0"";""33.2"";""402.0"";""ปกติ"""
"310,933;""129"";""11 พ.ค.2015 14:00"";""7.6"";""4.8"";""178.0"";""33.3"";""402.0"";""ปกติ"""
"311,060;""129"";""11 พ.ค.2015 15:00"";""7.6"";""4.9"";""178.0"";""33.4"";""402.0"";""ปกติ"""
"311,186;""129"";""11 พ.ค.2015 16:00"";""7.6"";""5.0"";""178.0"";""33.3"";""402.0"";""ปกติ"""
"311,312;""129"";""11 พ.ค.2015 17:00"";""7.6"";""5.0"";""179.0"";""33.1"";""402.0"";""ปกติ"""
"311,439;""129"";""11 พ.ค.2015 18:00"";""7.6"";""5.0"";""179.0"";""32.8"";""402.0"";""ปกติ"""
"311,565;""129"";""11 พ.ค.2015 19:00"";""7.6"";""5.2"";""179.0"";""32.6"";""402.0"";""ปกติ"""
"311,689;""129"";""11 พ.ค.2015 20:00"";""7.6"";""5.3"";""180.0"";""32.5"";""402.0"";""ปกติ"""
"311,814;""129"";""11 พ.ค.2015 21:00"";""7.6"";""5.4"";""180.0"";""32.4"";""402.0"";""ปกติ"""
"311,938;""129"";""11 พ.ค.2015 22:00"";""7.6"";""5.5"";""179.0"";""32.3"";""402.0"";""ปกติ"""
"312,063;""129"";""11 พ.ค.2015 23:00"";""7.6"";""5.5"";""179.0"";""32.3"";""402.0"";""ปกติ"""
"312,188;""129"";""12 พ.ค.2015 00:00"";""7.6"";""5.4"";""179.0"";""32.2"";""402.0"";""ปกติ"""
"312,313;""129"";""12 พ.ค.2015 01:00"";""7.6"";""5.4"";""179.0"";""32.2"";""402.0"";""ปกติ"""
"312,436;""129"";""12 พ.ค.2015 02:00"";""7.6"";""5.4"";""179.0"";""32.1"";""402.0"";""ปกติ"""
"312,561;""129"";""12 พ.ค.2015 03:00"";""7.6"";""5.3"";""179.0"";""31.9"";""402.0"";""ปกติ"""
"312,685;""129"";""12 พ.ค.2015 04:00"";""7.6"";""5.3"";""179.0"";""31.9"";""402.0"";""ปกติ"""
"312,810;""129"";""12 พ.ค.2015 05:00"";""7.6"";""5.2"";""179.0"";""31.8"";""402.0"";""ปกติ"""
"312,935;""129"";""12 พ.ค.2015 06:00"";""7.6"";""5.1"";""179.0"";""31.7"";""402.0"";""ปกติ"""
"313,060;""129"";""12 พ.ค.2015 07:00"";""7.6"";""5.1"";""179.0"";""31.8"";""402.0"";""ปกติ"""
"313,185;""129"";""12 พ.ค.2015 08:00"";""7.6"";""4.9"";""178.0"";""31.9"";""402.0"";""ปกติ"""
"313,310;""129"";""12 พ.ค.2015 09:00"";""7.6"";""5.2"";""178.0"";""32.1"";""402.0"";""ปกติ"""
"313,435;""129"";""12 พ.ค.2015 10:00"";""7.6"";""5.2"";""179.0"";""32.4"";""402.0"";""ปกติ"""
"313,559;""129"";""12 พ.ค.2015 11:00"";""7.6"";""5.1"";""178.0"";""32.7"";""402.0"";""ปกติ"""
"313,684;""129"";""12 พ.ค.2015 12:00"";""7.6"";""5.0"";""178.0"";""33.1"";""402.0"";""ปกติ"""
"313,808;""129"";""12 พ.ค.2015 13:00"";""7.6"";""5.1"";""178.0"";""33.3"";""402.0"";""ปกติ"""
"313,932;""129"";""12 พ.ค.2015 14:00"";""7.6"";""5.2"";""178.0"";""33.4"";""402.0"";""ปกติ"""
"314,053;""129"";""12 พ.ค.2015 15:00"";""7.6"";""5.3"";""177.0"";""33.4"";""402.0"";""ปกติ"""
"314,176;""129"";""12 พ.ค.2015 16:00"";""7.6"";""5.2"";""178.0"";""33.4"";""402.0"";""ปกติ"""
"314,301;""129"";""12 พ.ค.2015 17:00"";""7.6"";""5.3"";""178.0"";""33.2"";""402.0"";""ปกติ"""
"314,426;""129"";""12 พ.ค.2015 18:00"";""7.6"";""5.3"";""178.0"";""33.0"";""402.0"";""ปกติ"""
"314,551;""129"";""12 พ.ค.2015 19:00"";""7.6"";""5.4"";""178.0"";""32.8"";""402.0"";""ปกติ"""
"314,675;""129"";""12 พ.ค.2015 20:00"";""7.6"";""5.4"";""179.0"";""32.8"";""402.0"";""ปกติ"""
"314,799;""129"";""12 พ.ค.2015 21:00"";""7.6"";""5.4"";""179.0"";""32.7"";""402.0"";""ปกติ"""
"314,922;""129"";""12 พ.ค.2015 22:00"";""7.6"";""5.5"";""179.0"";""32.7"";""402.0"";""ปกติ"""
"315,046;""129"";""12 พ.ค.2015 23:00"";""7.6"";""5.4"";""179.0"";""32.6"";""402.0"";""ปกติ"""
"315,169;""129"";""13 พ.ค.2015 00:00"";""7.6"";""5.5"";""180.0"";""32.5"";""402.0"";""ปกติ"""
"315,292;""129"";""13 พ.ค.2015 01:00"";""7.6"";""5.5"";""180.0"";""32.4"";""402.0"";""ปกติ"""
"315,416;""129"";""13 พ.ค.2015 02:00"";""7.6"";""5.3"";""180.0"";""32.3"";""402.0"";""ปกติ"""
"315,539;""129"";""13 พ.ค.2015 03:00"";""7.6"";""5.3"";""180.0"";""32.2"";""402.0"";""ปกติ"""
"315,662;""129"";""13 พ.ค.2015 04:00"";""7.6"";""5.3"";""180.0"";""32.1"";""402.0"";""ปกติ"""
"315,786;""129"";""13 พ.ค.2015 05:00"";""7.6"";""5.2"";""180.0"";""32.1"";""402.0"";""ปกติ"""
"315,908;""129"";""13 พ.ค.2015 06:00"";""7.6"";""5.2"";""180.0"";""32.1"";""402.0"";""ปกติ"""
"316,031;""129"";""13 พ.ค.2015 07:00"";""7.6"";""5.0"";""181.0"";""32.1"";""402.0"";""ปกติ"""
"316,155;""129"";""13 พ.ค.2015 08:00"";""7.6"";""5.0"";""181.0"";""32.1"";""402.0"";""ปกติ"""
"316,275;""129"";""13 พ.ค.2015 09:00"";""7.6"";""5.1"";""180.0"";""32.3"";""402.0"";""ปกติ"""
"316,399;""129"";""13 พ.ค.2015 10:00"";""7.6"";""5.0"";""180.0"";""32.6"";""402.0"";""ปกติ"""
"316,522;""129"";""13 พ.ค.2015 11:00"";""7.6"";""5.0"";""180.0"";""32.9"";""402.0"";""ปกติ"""
"316,645;""129"";""13 พ.ค.2015 12:00"";""7.6"";""4.9"";""180.0"";""33.2"";""402.0"";""ปกติ"""
"316,767;""129"";""13 พ.ค.2015 13:00"";""7.6"";""4.7"";""180.0"";""33.4"";""402.0"";""ปกติ"""
"316,893;""129"";""13 พ.ค.2015 14:00"";""7.6"";""4.5"";""180.0"";""33.1"";""402.0"";""ปกติ"""
"317,018;""129"";""13 พ.ค.2015 15:00"";""7.6"";""5.1"";""180.0"";""32.6"";""402.0"";""ปกติ"""
"317,142;""129"";""13 พ.ค.2015 16:00"";""7.6"";""5.2"";""180.0"";""32.4"";""402.0"";""ปกติ"""
"317,267;""129"";""13 พ.ค.2015 17:00"";""7.6"";""5.1"";""180.0"";""32.3"";""402.0"";""ปกติ"""
"317,391;""129"";""13 พ.ค.2015 18:00"";""7.5"";""5.1"";""180.0"";""32.2"";""402.0"";""ปกติ"""
"317,511;""129"";""13 พ.ค.2015 19:00"";""7.5"";""5.1"";""179.0"";""32.2"";""402.0"";""ปกติ"""
"317,632;""129"";""13 พ.ค.2015 20:00"";""7.5"";""5.2"";""179.0"";""32.1"";""402.0"";""ปกติ"""
"317,752;""129"";""13 พ.ค.2015 21:00"";""7.5"";""5.1"";""179.0"";""32.1"";""402.0"";""ปกติ"""
"317,875;""129"";""13 พ.ค.2015 22:00"";""7.5"";""5.2"";""179.0"";""32.1"";""402.0"";""ปกติ"""
"317,998;""129"";""13 พ.ค.2015 23:00"";""7.5"";""5.2"";""179.0"";""32.0"";""402.0"";""ปกติ"""
"318,122;""129"";""14 พ.ค.2015 00:00"";""7.5"";""5.2"";""180.0"";""31.9"";""402.0"";""ปกติ"""
"318,245;""129"";""14 พ.ค.2015 01:00"";""7.5"";""5.2"";""180.0"";""31.8"";""402.0"";""ปกติ"""
"318,368;""129"";""14 พ.ค.2015 02:00"";""7.5"";""5.2"";""180.0"";""31.8"";""402.0"";""ปกติ"""
"318,491;""129"";""14 พ.ค.2015 03:00"";""7.5"";""5.2"";""180.0"";""31.7"";""402.0"";""ปกติ"""
"318,612;""129"";""14 พ.ค.2015 04:00"";""7.5"";""5.2"";""180.0"";""31.5"";""402.0"";""ปกติ"""
"318,734;""129"";""14 พ.ค.2015 05:00"";""7.5"";""5.2"";""180.0"";""31.4"";""402.0"";""ปกติ"""
"318,856;""129"";""14 พ.ค.2015 06:00"";""7.5"";""5.2"";""180.0"";""31.3"";""402.0"";""ปกติ"""
"318,978;""129"";""14 พ.ค.2015 07:00"";""7.5"";""5.1"";""182.0"";""31.4"";""402.0"";""ปกติ"""
"319,102;""129"";""14 พ.ค.2015 08:00"";""7.6"";""5.1"";""183.0"";""31.5"";""402.0"";""ปกติ"""
"319,226;""129"";""14 พ.ค.2015 09:00"";""7.6"";""5.1"";""183.0"";""31.6"";""402.0"";""ปกติ"""
"319,351;""129"";""14 พ.ค.2015 10:00"";""7.6"";""5.2"";""183.0"";""31.9"";""402.0"";""ปกติ"""
"319,475;""129"";""14 พ.ค.2015 11:00"";""7.5"";""5.2"";""183.0"";""32.1"";""402.0"";""ปกติ"""
"319,598;""129"";""14 พ.ค.2015 12:00"";""7.5"";""5.2"";""182.0"";""32.5"";""402.0"";""ปกติ"""
"319,722;""129"";""14 พ.ค.2015 13:00"";""7.5"";""5.3"";""182.0"";""32.6"";""402.0"";""ปกติ"""
"319,846;""129"";""14 พ.ค.2015 14:00"";""7.5"";""5.4"";""182.0"";""32.7"";""402.0"";""ปกติ"""
"319,968;""129"";""14 พ.ค.2015 15:00"";""7.5"";""5.3"";""182.0"";""32.7"";""402.0"";""ปกติ"""
"320,093;""129"";""14 พ.ค.2015 16:00"";""7.5"";""5.3"";""182.0"";""32.6"";""402.0"";""ปกติ"""
"320,217;""129"";""14 พ.ค.2015 17:00"";""7.5"";""5.3"";""183.0"";""32.3"";""402.0"";""ปกติ"""
"320,342;""129"";""14 พ.ค.2015 18:00"";""7.5"";""5.4"";""183.0"";""32.2"";""402.0"";""ปกติ"""
"320,467;""129"";""14 พ.ค.2015 19:00"";""7.5"";""5.5"";""183.0"";""31.8"";""402.0"";""ปกติ"""
"320,588;""129"";""14 พ.ค.2015 20:00"";""7.5"";""5.6"";""183.0"";""31.6"";""402.0"";""ปกติ"""
"320,710;""129"";""14 พ.ค.2015 21:00"";""7.5"";""5.6"";""183.0"";""31.6"";""402.0"";""ปกติ"""
"320,829;""129"";""14 พ.ค.2015 22:00"";""7.5"";""5.7"";""183.0"";""31.6"";""402.0"";""ปกติ"""
"320,952;""129"";""14 พ.ค.2015 23:00"";""7.5"";""5.7"";""182.0"";""31.6"";""402.0"";""ปกติ"""
"321,075;""129"";""15 พ.ค.2015 00:00"";""7.5"";""5.6"";""182.0"";""31.5"";""402.0"";""ปกติ"""
"321,196;""129"";""15 พ.ค.2015 01:00"";""7.5"";""5.5"";""183.0"";""31.5"";""402.0"";""ปกติ"""
"321,319;""129"";""15 พ.ค.2015 02:00"";""7.5"";""5.5"";""183.0"";""31.4"";""402.0"";""ปกติ"""
"321,442;""129"";""15 พ.ค.2015 03:00"";""7.5"";""5.5"";""184.0"";""31.4"";""402.0"";""ปกติ"""
"321,565;""129"";""15 พ.ค.2015 04:00"";""7.5"";""5.3"";""184.0"";""31.3"";""402.0"";""ปกติ"""
"321,687;""129"";""15 พ.ค.2015 05:00"";""7.5"";""5.4"";""184.0"";""31.2"";""402.0"";""ปกติ"""
"321,808;""129"";""15 พ.ค.2015 06:00"";""7.5"";""5.3"";""183.0"";""31.2"";""402.0"";""ปกติ"""
"321,928;""129"";""15 พ.ค.2015 07:00"";""7.5"";""5.3"";""183.0"";""31.2"";""402.0"";""ปกติ"""
"322,049;""129"";""15 พ.ค.2015 08:00"";""7.4"";""5.2"";""183.0"";""31.3"";""402.0"";""ปกติ"""
"322,172;""129"";""15 พ.ค.2015 09:00"";""7.4"";""5.1"";""183.0"";""31.5"";""402.0"";""ปกติ"""
"322,295;""129"";""15 พ.ค.2015 10:00"";""7.4"";""5.2"";""182.0"";""31.7"";""402.0"";""ปกติ"""
"322,418;""129"";""15 พ.ค.2015 11:00"";""7.4"";""5.2"";""182.0"";""31.9"";""402.0"";""ปกติ"""
"322,539;""129"";""15 พ.ค.2015 12:00"";""7.4"";""5.3"";""182.0"";""32.1"";""402.0"";""ปกติ"""
"322,660;""129"";""15 พ.ค.2015 13:00"";""7.4"";""5.2"";""182.0"";""32.3"";""402.0"";""ปกติ"""
"322,781;""129"";""15 พ.ค.2015 14:00"";""7.4"";""5.1"";""181.0"";""32.3"";""402.0"";""ปกติ"""
"322,903;""129"";""15 พ.ค.2015 15:00"";""7.4"";""5.2"";""181.0"";""32.4"";""402.0"";""ปกติ"""
"323,026;""129"";""15 พ.ค.2015 16:00"";""7.4"";""5.4"";""181.0"";""32.3"";""402.0"";""ปกติ"""
"323,149;""129"";""15 พ.ค.2015 17:00"";""7.4"";""5.4"";""181.0"";""32.2"";""402.0"";""ปกติ"""
"323,272;""129"";""15 พ.ค.2015 18:00"";""7.5"";""5.4"";""181.0"";""32.0"";""402.0"";""ปกติ"""
"323,395;""129"";""15 พ.ค.2015 19:00"";""7.5"";""5.6"";""181.0"";""31.9"";""402.0"";""ปกติ"""
"323,516;""129"";""15 พ.ค.2015 20:00"";""7.4"";""5.6"";""182.0"";""31.9"";""402.0"";""ปกติ"""
"323,638;""129"";""15 พ.ค.2015 21:00"";""7.5"";""5.7"";""182.0"";""31.9"";""402.0"";""ปกติ"""
"323,758;""129"";""15 พ.ค.2015 22:00"";""7.5"";""5.8"";""183.0"";""31.8"";""402.0"";""ปกติ"""
"323,880;""129"";""15 พ.ค.2015 23:00"";""7.5"";""5.6"";""184.0"";""31.8"";""402.0"";""ปกติ"""
"324,000;""129"";""16 พ.ค.2015 00:00"";""7.5"";""5.4"";""184.0"";""31.7"";""402.0"";""ปกติ"""
"324,122;""129"";""16 พ.ค.2015 01:00"";""7.5"";""5.6"";""185.0"";""31.7"";""402.0"";""ปกติ"""
"324,244;""129"";""16 พ.ค.2015 02:00"";""7.4"";""5.5"";""185.0"";""31.6"";""117.0"";""ปกติ"""
"324,365;""129"";""16 พ.ค.2015 03:00"";""7.4"";""5.3"";""185.0"";""31.6"";""109.0"";""ปกติ"""
"324,487;""129"";""16 พ.ค.2015 04:00"";""7.4"";""5.2"";""185.0"";""31.6"";""107.0"";""ปกติ"""
"324,609;""129"";""16 พ.ค.2015 05:00"";""7.4"";""5.0"";""185.0"";""31.5"";""113.0"";""ปกติ"""
"324,730;""129"";""16 พ.ค.2015 06:00"";""7.4"";""4.8"";""185.0"";""31.5"";""114.0"";""ปกติ"""
"324,852;""129"";""16 พ.ค.2015 07:00"";""7.4"";""4.9"";""185.0"";""31.6"";""112.0"";""ปกติ"""
"324,975;""129"";""16 พ.ค.2015 08:00"";""7.4"";""4.7"";""184.0"";""31.7"";""119.0"";""ปกติ"""
"325,099;""129"";""16 พ.ค.2015 09:00"";""7.4"";""5.0"";""183.0"";""32.0"";""112.0"";""ปกติ"""
"325,222;""129"";""16 พ.ค.2015 10:00"";""7.4"";""5.1"";""183.0"";""32.2"";""110.0"";""ปกติ"""
"325,346;""129"";""16 พ.ค.2015 11:00"";""7.4"";""5.2"";""183.0"";""32.6"";""117.0"";""ปกติ"""
"325,469;""129"";""16 พ.ค.2015 12:00"";""7.4"";""5.2"";""182.0"";""32.8"";""117.0"";""ปกติ"""
"325,591;""129"";""16 พ.ค.2015 13:00"";""7.4"";""5.2"";""182.0"";""32.9"";""118.0"";""ปกติ"""
"325,713;""129"";""16 พ.ค.2015 14:00"";""7.4"";""5.2"";""182.0"";""33.0"";""112.0"";""ปกติ"""
"325,835;""129"";""16 พ.ค.2015 15:00"";""7.4"";""5.2"";""182.0"";""32.9"";""119.0"";""ปกติ"""
"325,957;""129"";""16 พ.ค.2015 16:00"";""7.4"";""5.2"";""182.0"";""32.8"";""124.0"";""ปกติ"""
"326,080;""129"";""16 พ.ค.2015 17:00"";""7.5"";""5.3"";""182.0"";""32.6"";""112.0"";""ปกติ"""
"326,205;""129"";""16 พ.ค.2015 18:00"";""7.5"";""5.5"";""183.0"";""32.4"";""115.0"";""ปกติ"""
"326,329;""129"";""16 พ.ค.2015 19:00"";""7.5"";""5.5"";""182.0"";""32.3"";""121.0"";""ปกติ"""
"326,454;""129"";""16 พ.ค.2015 20:00"";""7.5"";""5.4"";""183.0"";""32.2"";""111.0"";""ปกติ"""
"326,579;""129"";""16 พ.ค.2015 21:00"";""7.4"";""5.7"";""183.0"";""32.2"";""114.0"";""ปกติ"""
"326,703;""129"";""16 พ.ค.2015 22:00"";""7.5"";""5.7"";""183.0"";""32.2"";""109.0"";""ปกติ"""
"326,826;""129"";""16 พ.ค.2015 23:00"";""7.5"";""5.8"";""183.0"";""32.1"";""102.0"";""ปกติ"""
"326,950;""129"";""17 พ.ค.2015 00:00"";""7.5"";""5.7"";""184.0"";""32.0"";""106.0"";""ปกติ"""
"327,074;""129"";""17 พ.ค.2015 01:00"";""7.5"";""5.7"";""183.0"";""32.0"";""103.0"";""ปกติ"""
"327,197;""129"";""17 พ.ค.2015 02:00"";""7.4"";""5.7"";""184.0"";""31.8"";""101.0"";""ปกติ"""
"327,321;""129"";""17 พ.ค.2015 03:00"";""7.4"";""5.6"";""184.0"";""31.7"";""99.0"";""ปกติ"""
"327,442;""129"";""17 พ.ค.2015 04:00"";""7.4"";""5.5"";""184.0"";""31.7"";""96.0"";""ปกติ"""
"327,565;""129"";""17 พ.ค.2015 05:00"";""7.4"";""5.4"";""184.0"";""31.6"";""87.0"";""ปกติ"""
"327,689;""129"";""17 พ.ค.2015 06:00"";""7.4"";""5.4"";""184.0"";""31.6"";""84.0"";""ปกติ"""
"327,813;""129"";""17 พ.ค.2015 07:00"";""7.4"";""5.4"";""183.0"";""31.7"";""88.0"";""ปกติ"""
"327,937;""129"";""17 พ.ค.2015 08:00"";""7.4"";""5.3"";""182.0"";""31.8"";""87.0"";""ปกติ"""
"328,061;""129"";""17 พ.ค.2015 09:00"";""7.4"";""5.3"";""182.0"";""32.0"";""85.0"";""ปกติ"""
"328,184;""129"";""17 พ.ค.2015 10:00"";""7.4"";""5.2"";""181.0"";""32.2"";""85.0"";""ปกติ"""
"328,308;""129"";""17 พ.ค.2015 11:00"";""7.4"";""5.2"";""181.0"";""32.5"";""85.0"";""ปกติ"""
"328,432;""129"";""17 พ.ค.2015 12:00"";""7.4"";""5.2"";""181.0"";""32.8"";""80.0"";""ปกติ"""
"328,556;""129"";""17 พ.ค.2015 13:00"";""7.4"";""5.2"";""180.0"";""32.8"";""76.0"";""ปกติ"""
"328,678;""129"";""17 พ.ค.2015 14:00"";""7.4"";""5.3"";""181.0"";""32.9"";""77.0"";""ปกติ"""
"328,801;""129"";""17 พ.ค.2015 15:00"";""7.4"";""5.4"";""181.0"";""32.8"";""83.0"";""ปกติ"""
"328,925;""129"";""17 พ.ค.2015 16:00"";""7.4"";""5.4"";""182.0"";""32.8"";""83.0"";""ปกติ"""
"329,048;""129"";""17 พ.ค.2015 17:00"";""7.4"";""5.5"";""182.0"";""32.1"";""77.0"";""ปกติ"""
"329,167;""129"";""17 พ.ค.2015 18:00"";""7.5"";""5.8"";""183.0"";""32.0"";""86.0"";""ปกติ"""
"329,289;""129"";""17 พ.ค.2015 19:00"";""7.5"";""5.7"";""184.0"";""32.0"";""84.0"";""ปกติ"""
"329,411;""129"";""17 พ.ค.2015 20:00"";""7.5"";""5.7"";""185.0"";""32.0"";""76.0"";""ปกติ"""
"329,534;""129"";""17 พ.ค.2015 21:00"";""7.4"";""5.5"";""186.0"";""32.0"";""68.0"";""ปกติ"""
"329,658;""129"";""17 พ.ค.2015 22:00"";""7.5"";""5.5"";""186.0"";""32.0"";""66.0"";""ปกติ"""
"329,780;""129"";""17 พ.ค.2015 23:00"";""7.5"";""5.5"";""185.0"";""31.9"";""64.0"";""ปกติ"""
"329,903;""129"";""18 พ.ค.2015 00:00"";""7.5"";""5.5"";""185.0"";""31.9"";""67.0"";""ปกติ"""
"330,026;""129"";""18 พ.ค.2015 01:00"";""7.5"";""5.4"";""185.0"";""31.8"";""68.0"";""ปกติ"""
"330,149;""129"";""18 พ.ค.2015 02:00"";""7.5"";""5.3"";""185.0"";""31.8"";""68.0"";""ปกติ"""
"330,271;""129"";""18 พ.ค.2015 03:00"";""7.5"";""5.4"";""184.0"";""31.7"";""71.0"";""ปกติ"""
"330,394;""129"";""18 พ.ค.2015 04:00"";""7.5"";""5.4"";""184.0"";""31.7"";""72.0"";""ปกติ"""
"330,518;""129"";""18 พ.ค.2015 05:00"";""7.5"";""5.3"";""183.0"";""31.6"";""74.0"";""ปกติ"""
"330,642;""129"";""18 พ.ค.2015 06:00"";""7.5"";""5.2"";""183.0"";""31.6"";""76.0"";""ปกติ"""
"330,766;""129"";""18 พ.ค.2015 07:00"";""7.5"";""5.2"";""183.0"";""31.5"";""82.0"";""ปกติ"""
"330,890;""129"";""18 พ.ค.2015 08:00"";""7.5"";""5.4"";""182.0"";""31.7"";""89.0"";""ปกติ"""
"331,014;""129"";""18 พ.ค.2015 09:00"";""7.5"";""5.3"";""181.0"";""31.9"";""87.0"";""ปกติ"""
"331,138;""129"";""18 พ.ค.2015 10:00"";""7.5"";""5.4"";""181.0"";""32.1"";""91.0"";""ปกติ"""
"331,262;""129"";""18 พ.ค.2015 11:00"";""7.5"";""5.2"";""181.0"";""32.3"";""91.0"";""ปกติ"""
"331,385;""129"";""18 พ.ค.2015 12:00"";""7.5"";""5.1"";""180.0"";""32.5"";""88.0"";""ปกติ"""
"331,509;""129"";""18 พ.ค.2015 13:00"";""7.7"";""5.5"";""180.0"";""32.4"";""72.0"";""ปกติ"""
"331,631;""129"";""18 พ.ค.2015 14:00"";""7.7"";""5.2"";""180.0"";""32.4"";""77.0"";""ปกติ"""
"331,751;""129"";""18 พ.ค.2015 15:00"";""7.7"";""5.2"";""181.0"";""32.6"";""81.0"";""ปกติ"""
"331,869;""129"";""18 พ.ค.2015 16:00"";""7.7"";""5.3"";""181.0"";""32.7"";""88.0"";""ปกติ"""
"331,985;""129"";""18 พ.ค.2015 17:00"";""7.7"";""5.3"";""181.0"";""32.5"";""86.0"";""ปกติ"""
"332,103;""129"";""18 พ.ค.2015 18:00"";""7.7"";""5.3"";""181.0"";""32.4"";""85.0"";""ปกติ"""
"332,218;""129"";""18 พ.ค.2015 19:00"";""7.7"";""5.4"";""181.0"";""32.3"";""86.0"";""ปกติ"""
"332,335;""129"";""18 พ.ค.2015 20:00"";""7.7"";""5.5"";""181.0"";""32.2"";""77.0"";""ปกติ"""
"332,451;""129"";""18 พ.ค.2015 21:00"";""7.7"";""5.5"";""181.0"";""32.1"";""67.0"";""ปกติ"""
"332,570;""129"";""18 พ.ค.2015 22:00"";""7.7"";""5.5"";""181.0"";""32.1"";""65.0"";""ปกติ"""
"332,690;""129"";""18 พ.ค.2015 23:00"";""7.7"";""5.5"";""181.0"";""32.0"";""63.0"";""ปกติ"""
"332,809;""129"";""19 พ.ค.2015 00:00"";""7.7"";""5.5"";""181.0"";""32.0"";""63.0"";""ปกติ"""
"332,929;""129"";""19 พ.ค.2015 01:00"";""7.7"";""5.5"";""181.0"";""31.9"";""64.0"";""ปกติ"""
"333,049;""129"";""19 พ.ค.2015 02:00"";""7.7"";""5.5"";""181.0"";""31.9"";""63.0"";""ปกติ"""
"333,168;""129"";""19 พ.ค.2015 03:00"";""7.7"";""5.4"";""181.0"";""31.8"";""67.0"";""ปกติ"""
"333,287;""129"";""19 พ.ค.2015 04:00"";""7.7"";""5.4"";""181.0"";""31.7"";""66.0"";""ปกติ"""
"333,407;""129"";""19 พ.ค.2015 05:00"";""7.7"";""5.4"";""180.0"";""31.7"";""66.0"";""ปกติ"""
"333,526;""129"";""19 พ.ค.2015 06:00"";""7.7"";""5.3"";""180.0"";""31.7"";""74.0"";""ปกติ"""
"333,646;""129"";""19 พ.ค.2015 07:00"";""7.7"";""5.2"";""180.0"";""31.7"";""80.0"";""ปกติ"""
"333,766;""129"";""19 พ.ค.2015 08:00"";""7.7"";""5.2"";""179.0"";""31.9"";""79.0"";""ปกติ"""
"333,886;""129"";""19 พ.ค.2015 09:00"";""7.7"";""5.2"";""180.0"";""32.1"";""84.0"";""ปกติ"""
"334,007;""129"";""19 พ.ค.2015 10:00"";""7.7"";""5.2"";""180.0"";""32.3"";""82.0"";""ปกติ"""
"334,130;""129"";""19 พ.ค.2015 11:00"";""7.7"";""5.2"";""180.0"";""32.4"";""85.0"";""ปกติ"""
"334,249;""129"";""19 พ.ค.2015 12:00"";""7.7"";""5.2"";""180.0"";""32.6"";""82.0"";""ปกติ"""
"334,371;""129"";""19 พ.ค.2015 13:00"";""7.7"";""5.2"";""181.0"";""32.7"";""80.0"";""ปกติ"""
"334,491;""129"";""19 พ.ค.2015 14:00"";""7.7"";""5.3"";""181.0"";""32.9"";""77.0"";""ปกติ"""
"334,611;""129"";""19 พ.ค.2015 15:00"";""7.7"";""5.2"";""181.0"";""32.9"";""81.0"";""ปกติ"""
"334,731;""129"";""19 พ.ค.2015 16:00"";""7.7"";""5.2"";""182.0"";""32.8"";""90.0"";""ปกติ"""
"334,853;""129"";""19 พ.ค.2015 17:00"";""7.7"";""5.3"";""182.0"";""32.6"";""89.0"";""ปกติ"""
"334,973;""129"";""19 พ.ค.2015 18:00"";""7.7"";""5.3"";""182.0"";""32.5"";""86.0"";""ปกติ"""
"335,095;""129"";""19 พ.ค.2015 19:00"";""7.7"";""5.4"";""182.0"";""32.4"";""90.0"";""ปกติ"""
"335,214;""129"";""19 พ.ค.2015 20:00"";""7.7"";""5.5"";""182.0"";""32.1"";""80.0"";""ปกติ"""
"335,333;""129"";""19 พ.ค.2015 21:00"";""7.7"";""5.6"";""182.0"";""32.0"";""72.0"";""ปกติ"""
"335,452;""129"";""19 พ.ค.2015 22:00"";""7.8"";""5.7"";""182.0"";""31.9"";""73.0"";""ปกติ"""
"335,571;""129"";""19 พ.ค.2015 23:00"";""7.8"";""5.7"";""181.0"";""31.9"";""65.0"";""ปกติ"""
"335,689;""129"";""20 พ.ค.2015 00:00"";""7.7"";""5.6"";""182.0"";""31.9"";""64.0"";""ปกติ"""
"335,806;""129"";""20 พ.ค.2015 01:00"";""7.7"";""5.5"";""182.0"";""31.9"";""63.0"";""ปกติ"""
"335,926;""129"";""20 พ.ค.2015 02:00"";""7.7"";""5.4"";""181.0"";""31.8"";""63.0"";""ปกติ"""
"336,046;""129"";""20 พ.ค.2015 03:00"";""7.7"";""5.4"";""181.0"";""31.7"";""66.0"";""ปกติ"""
"336,166;""129"";""20 พ.ค.2015 04:00"";""7.7"";""5.3"";""181.0"";""31.7"";""64.0"";""ปกติ"""
"336,285;""129"";""20 พ.ค.2015 05:00"";""7.7"";""5.3"";""181.0"";""31.6"";""66.0"";""ปกติ"""
"336,405;""129"";""20 พ.ค.2015 06:00"";""7.7"";""5.2"";""181.0"";""31.6"";""74.0"";""ปกติ"""
"336,526;""129"";""20 พ.ค.2015 07:00"";""7.7"";""5.1"";""180.0"";""31.6"";""83.0"";""ปกติ"""
"336,646;""129"";""20 พ.ค.2015 08:00"";""7.7"";""5.1"";""180.0"";""31.7"";""87.0"";""ปกติ"""
"336,767;""129"";""20 พ.ค.2015 09:00"";""7.7"";""5.1"";""179.0"";""31.8"";""84.0"";""ปกติ"""
