"198,535";"109";"2 เม.ย.2015 01:00";"6.5";"7.1";"246.8";"31.0";"-";"ปกติ"
"198,596";"109";"2 เม.ย.2015 01:30";"6.5";"7.2";"247.0";"30.9";"-";"ปกติ"
"198,649";"109";"2 เม.ย.2015 02:00";"6.5";"7.1";"247.1";"30.8";"-";"ปกติ"
"198,710";"109";"2 เม.ย.2015 02:30";"6.4";"7.0";"247.2";"30.8";"-";"ปกติ"
"198,763";"109";"2 เม.ย.2015 03:00";"6.4";"6.8";"247.5";"30.7";"-";"ปกติ"
"198,824";"109";"2 เม.ย.2015 03:30";"6.4";"6.6";"247.7";"30.7";"-";"ปกติ"
"198,877";"109";"2 เม.ย.2015 04:00";"6.4";"6.5";"248.0";"30.6";"-";"ปกติ"
"198,937";"109";"2 เม.ย.2015 04:30";"6.4";"6.6";"248.1";"30.6";"-";"ปกติ"
"198,990";"109";"2 เม.ย.2015 05:00";"6.4";"6.7";"248.1";"30.5";"-";"ปกติ"
"199,051";"109";"2 เม.ย.2015 05:30";"6.4";"6.6";"248.3";"30.5";"-";"ปกติ"
"199,104";"109";"2 เม.ย.2015 06:00";"6.4";"6.6";"248.3";"30.5";"-";"ปกติ"
"199,165";"109";"2 เม.ย.2015 06:30";"6.4";"7.0";"248.1";"30.5";"-";"ปกติ"
"199,218";"109";"2 เม.ย.2015 07:00";"6.5";"7.3";"248.0";"30.5";"-";"ปกติ"
"199,278";"109";"2 เม.ย.2015 07:30";"6.5";"7.2";"248.2";"30.5";"-";"ปกติ"
"199,330";"109";"2 เม.ย.2015 08:00";"6.5";"7.2";"248.1";"30.5";"-";"ปกติ"
"199,391";"109";"2 เม.ย.2015 08:30";"6.5";"7.2";"248.3";"30.6";"-";"ปกติ"
"199,444";"109";"2 เม.ย.2015 09:00";"6.5";"7.3";"248.3";"30.7";"-";"ปกติ"
"199,504";"109";"2 เม.ย.2015 09:30";"6.5";"7.3";"248.3";"30.8";"-";"ปกติ"
"199,556";"109";"2 เม.ย.2015 10:00";"6.6";"7.3";"248.6";"31.0";"-";"ปกติ"
"199,615";"109";"2 เม.ย.2015 10:30";"6.5";"7.2";"248.5";"31.0";"-";"ปกติ"
